epoch;accuracy;iou_coef;loss;val_accuracy;val_iou_coef;val_loss
7;0.6844698;0.22895387;0.30769244922531974;0.6649042;0.24240583;0.3120867836475372
8;0.6844698;0.22866006;0.30763976600435045;0.6649042;0.24211441;0.3120729355017344
9;0.6844698;0.22841804;0.30758957743644716;0.6649042;0.2419047;0.31206429680188497
10;0.6844698;0.22822015;0.30754390557607014;0.6649042;0.24165869;0.3120556898911794
11;0.6844698;0.22798091;0.3075000222524007;0.6649042;0.24142657;0.31204901695251464
0;0.67963153;0.23093833;26.38467745900154;0.6710388;0.23878072;0.31068386634190875
1;0.6824261;0.22869407;0.30793210513061947;0.6710388;0.23680766;0.310546928246816
0;0.35621583;0.21771523;2.0595365528265637;0.33189902;0.23506348;0.32537816683451337
1;0.45516074;0.23358402;0.30987899515363904;0.67205626;0.23583283;0.3109579559167226
2;0.68208694;0.23376942;0.30705067727300855;0.67205626;0.2359819;0.30938741366068523
3;0.68208694;0.233803;0.30655669821633236;0.67205626;0.23600192;0.3088018520673116
4;0.68208694;0.23379934;0.30635798083411325;0.67205626;0.23599195;0.30864675124486285
5;0.68208694;0.23378524;0.3062904467847612;0.67205626;0.2359774;0.3085351804892222
6;0.68208694;0.23376882;0.3062293028831482;0.67205626;0.23595648;0.3084746325016022
7;0.68208694;0.23374587;0.30619511988427905;0.67205626;0.23593788;0.30843759258588155
8;0.68208694;0.2337279;0.3061759274535709;0.67205626;0.23591664;0.3084194854895274
9;0.68208694;0.2337056;0.3061654512749778;0.67205626;0.23589347;0.3084111615022023
10;0.68208694;0.23368673;0.3061602163977093;0.67205626;0.23587257;0.30840480506420137
11;0.68208694;0.23366427;0.3061528726418813;0.67205626;0.23584755;0.3083992254734039
12;0.68208694;0.23363999;0.30614715192053055;0.67205626;0.23582576;0.30839580078919726
13;0.68208694;0.23362426;0.30614227698908913;0.67205626;0.23580292;0.30839139938354493
0;0.36134854;0.20908752;2.8959125473764207;0.34236917;0.23684654;0.5896419064203898
1;0.32489902;0.23072842;0.4153542509343889;0.668372;0.23852646;0.3976839554309845
2;0.68331504;0.23203053;0.32567561586697896;0.668372;0.23933311;0.34563727299372354
3;0.68331504;0.23224813;0.3154028289847904;0.668372;0.23965581;0.3302681338787079
4;0.68331504;0.23231357;0.3121832022402022;0.668372;0.23980176;0.32317798495292666
5;0.68331504;0.23232032;0.3104274707370334;0.668372;0.23989184;0.3186083734035492
6;0.68331504;0.23233731;0.3090720150205824;0.668372;0.23994115;0.3159183939297994
7;0.68331504;0.23233713;0.3081252478228675;0.668372;0.23997703;0.3140314547220866
8;0.68331504;0.23233178;0.30765909088982474;0.668372;0.23998803;0.31288293639818826
0;0.6569163;0.23252316;0.30534235934416454;0.70050967;0.222478;0.2996443634231885
1;0.6779535;0.23113954;0.3051539243095451;0.69981587;0.22008511;0.29794382154941557
2;0.6476864;0.23173894;0.3049719555510415;0.70133436;0.2189839;0.29741819525758423
3;0.6474918;0.22995974;0.30449225993620027;0.70137733;0.21830535;0.2956040193637212
4;0.66920835;0.24332128;0.2953837289578385;0.7765147;0.3194813;0.23044443850715954
5;0.7601607;0.33620712;0.24282558568649823;0.82729846;0.3612935;0.20852540545165538
6;0.7869299;0.3866201;0.21652649140192404;0.8363202;0.35448772;0.2054364384462436
7;0.81491035;0.41647932;0.19954477383030786;0.85146004;0.427551;0.20946933242181937
8;0.8133603;0.4197163;0.20116451202581326;0.85400265;0.4334279;0.178910017448167
9;0.8228668;0.43376398;0.19118119776248932;0.8490257;0.4755869;0.1737287113443017
10;0.8392688;0.47714195;0.17226068911453088;0.8564766;0.49748787;0.17395694678028426
11;0.83790445;0.46045706;0.17760867199136152;0.8557228;0.44931754;0.18680726140737533
12;0.8420177;0.47960722;0.17121634522659912;0.8651057;0.44815445;0.16666244777540365
13;0.8492285;0.4925556;0.16397102591064242;0.8689888;0.48502928;0.1772810988749067
14;0.858699;0.51192564;0.156734921120935;0.8651286;0.5038603;0.15738473764310282
15;0.84359837;0.48322806;0.16979032899770471;0.8549917;0.5167246;0.16711717738459508
