Index,Mean IoU,Filters,Learning rate,Pre processing,Batch size,Dropout,Elastic proportion
0,0.6938766837120056,32,6.455488565622547e-05,Standardized,5,0.45936438296656845,0.0137446525836676
1,0.6930167078971863,32,7.133595970876247e-05,Standardized,5,0.4356367030696907,0.05237555418408491
2,0.6929798126220703,64,4.9597058979875596e-05,Standardized,6,0.44262451254521223,0.13646663622476116
3,0.69219970703125,64,5.171295224432212e-05,Standardized,6,0.4997730653767849,0.09134815104171008
4,0.6921364665031433,32,6.421719958534386e-05,Standardized,5,0.39397157736691146,0.03407948286544197
5,0.6918495297431946,32,5.64836048744159e-05,Standardized,5,0.44722840399624636,0.020331115282596218
6,0.6911208629608154,32,5.612575018497697e-05,Standardized,5,0.38069643585093876,0.07318796835187061
7,0.6909562945365906,32,6.27909884069225e-05,Standardized,5,0.31774180054468426,0.0735290068570634
8,0.6908273100852966,64,4.923864844921977e-05,Standardized,6,0.4686226974080775,0.1292120111771324
9,0.690471351146698,32,3.770561013047833e-05,Standardized,5,0.4217017968866083,0.07394119266334898
10,0.6892029643058777,32,5.262538284717443e-05,Standardized,5,0.4782710300498585,0.017209347936984802
11,0.6891486048698425,32,6.158349436963332e-05,Standardized,5,0.4571899226907759,0.058302833754997986
12,0.6888134479522705,32,5.147362797639121e-05,Standardized,5,0.44270214881650377,0.022432380429156826
13,0.6886184811592102,32,5.915918937278959e-05,Standardized,5,0.4923876535791707,0.029558238349820416
14,0.687699019908905,64,4.0987441123552575e-05,Standardized,6,0.43016715024594976,0.13594923123647049
15,0.6873034834861755,64,4.988088489220946e-05,Standardized,6,0.45069048966462155,0.10977246523550885
16,0.687039852142334,32,4.853670569469083e-05,Standardized,5,0.4805635170241799,0.03901000364999489
17,0.6863134503364563,32,6.617440332067037e-05,Standardized,5,0.396394186033669,0.09850663594176237
18,0.6857779622077942,32,4.023584781578284e-05,Standardized,5,0.3547245369719072,0.04546699698209151
19,0.685721218585968,32,4.4838941641209776e-05,Standardized,5,0.4085722576971635,0.07784976262666604
20,0.6852179169654846,32,4.8937058862816845e-05,Standardized,5,0.4871891538722375,0.06488315344434768
21,0.6851787567138672,32,5.016397888721559e-05,Standardized,5,0.4999998888317463,0.04849701723488595
22,0.6847764849662781,64,4.6101205133831774e-05,Standardized,6,0.5,0.07772290143539287
23,0.6841435432434082,32,4.196623873780722e-05,Standardized,5,0.4257345308956782,0.013804153856902267
24,0.6829872727394104,32,6.850676908960152e-05,Standardized,5,0.49601603382898674,0.04899884192316477
25,0.6827006340026855,64,5.020871744604067e-05,Standardized,6,0.48201910922929947,0.04078723554884187
26,0.680188000202179,64,5.242320565018241e-05,Standardized,6,0.45734801907782807,0.13001720846451792
27,0.6764421463012695,32,5.054046692115407e-05,Standardized,5,0.4794938108999945,0.06027389454509246
28,0.6737080216407776,32,5.237421305361688e-05,Standardized,5,0.4709865296596847,0.05517846845092698
29,0.6674869656562805,32,4.1187518141318503e-05,Standardized,5,0.5,0.06731590084080027
30,0.6374731063842773,16,0.0001871461285654435,ZCA: 1e-1,6,0.4683778515951093,0.01665907611593027
31,0.6291542649269104,32,4.529596508423579e-05,ZCA: 1e-5,2,0.39452783944558323,0.09280045773040503
32,0.6287655830383301,32,4.5408791913982926e-05,ZCA: 1e-5,2,0.3979921314855299,0.07571355345530856
33,0.6020453572273254,16,0.00017462926086058176,ZCA: 1e-1,6,0.4715495812353651,0.020661750445780766
34,0.5943751931190491,32,3.6090095894820854e-05,ZCA: 1e-3,6,0.3251701244891779,0.14978354594899104
35,0.5131481289863586,16,0.000507148889716143,ZCA: 1e-2,2,0.33459978246953437,0.0001668103004666577
36,0.48603132367134094,16,1.0854461330546575e-06,ZCA: 1e-1,3,0.36485033879279066,0.15023165116480566
37,0.3439994752407074,64,6.396655736145585e-05,Normalized,5,0.4958479873014776,0.15548746290057353
38,0.34390947222709656,16,2.457514777156644e-05,Normalized,1,0.48836890153687984,0.09327621428468941
39,0.3439044952392578,32,3.0477913761058504e-05,Normalized,4,0.4448641691033963,0.17474722321552874
40,0.3438006341457367,32,1.795205532447833e-05,Normalized,3,0.49749601519760694,0.13328864455899256
41,0.3432009220123291,16,0.00013687876114074266,ZCA: 1e-3,6,0.4830439557075642,0.034893961894632945
42,0.3420449197292328,32,4.5733266967322514e-05,ZCA: 1e-5,2,0.4079066793708671,0.02681253556429335
43,0.3391031324863434,16,0.00020019146635601043,ZCA: 1e-1,6,0.4652904278468693,0.012762798743390608
44,0.3388097584247589,16,2.8441233837798753e-06,Normalized,1,0.4059627445208678,0.14176159934831567
45,0.3356247842311859,64,0.00012360345322247405,ZCA: 1e-5,6,0.31784768518655926,0.056440330620998784
46,0.33470118045806885,16,1.2750151604456914e-06,ZCA: 1e-6,1,0.3128844192021016,0.19659714851243
47,0.3138829469680786,16,1.8169722317513651e-06,ZCA: 1e-6,3,0.4048085785397835,0.09011601348475447
48,0.3097761571407318,32,8.00689422994733e-05,ZCA: 1e-6,3,0.3774038581599058,0.062501605754998
49,0.285343199968338,16,4.1326566954418975e-06,ZCA: 1e-1,5,0.4876142052701228,0.1631558806348663
50,0.08277323842048645,64,3.346372395455957e-06,Normalized,6,0.3741006770023733,0.08869398995293538
