Index,Iteration,Mean IoU,Filters,Learning rate,Pre processing,Batch size,Dropout,Elastic proportion
51,2,0.6221774220466614,64,0.0003217508885629492,Standardized,1,0.4078779454816533,0.08876898723678583
52,21,0.6095677018165588,64,0.00023359174943393454,ZCA: 1e-5,5,0.3657220378508157,0.1643672753897814
53,61,0.6021881103515625,32,3.6445894362949e-05,ZCA: 1e-5,4,0.37369817114005904,0.15376420363874876
54,23,0.5827552676200867,64,5.595437808072347e-06,ZCA: 1e-6,5,0.4472833651602134,0.19931278553089443
55,32,0.5801019072532654,16,0.000984897057512296,ZCA: 1e-4,4,0.317654377165287,0.12241447446220174
56,63,0.5794313549995422,32,1.662187681945548e-05,ZCA: 1e-2,5,0.3232438636795766,0.16476124075420256
57,20,0.5604814887046814,16,1.5190867618267409e-05,ZCA: 1e-2,2,0.32747823799928955,0.18177249322473168
58,64,0.5352292060852051,16,5.714779500591353e-05,ZCA: 1e-4,6,0.4547962834077947,0.1857993565480653
59,17,0.527073085308075,32,1.0715864197289267e-05,ZCA: 1e-5,2,0.48919923832616796,0.04955902788463498
60,57,0.5038939714431763,32,1.0075468325300924e-06,Normalized,3,0.3608240103779779,0.1433118811941863
61,59,0.47714030742645264,16,8.852419428524187e-06,ZCA: 1e-6,2,0.34937192230125175,0.1143896860714256
62,47,0.4622962772846222,32,0.0009963049576543464,ZCA: 1e-3,1,0.30700806233026834,0.14173978156128328
63,18,0.4157443046569824,32,1.4924126623813023e-06,ZCA: 1e-1,5,0.4086877568337157,0.1377580163069289
64,3,0.3892081081867218,64,0.0005900217145194266,ZCA: 1e-4,1,0.3138364244015332,0.13492464374537846
65,8,0.3792281448841095,32,1.7912519801174835e-06,Normalized,1,0.3982940498826375,0.14302394753429873
66,51,0.3636355400085449,32,2.8903830723299256e-06,Normalized,6,0.46994258823109747,0.19990338744854652
67,7,0.27274036407470703,32,3.0473412466101364e-06,ZCA: 1e-5,6,0.4514563081732322,0.10400934355804006
68,1,0.24195416271686554,64,1.1849088716597715e-06,ZCA: 1e-2,4,0.3397587362040968,0.06156892643414072
