net_filters	net_lr	net_drop	prop_elastic	val_iou	val_accuracy	val_TP	val_TN	val_FP	val_FN
64.0	0.001	0.5	0.1	0	0.6922091	0	0.6922091	0	0.30779088
32.0	6.158482110660267e-06	0.39999999999999997	0.0	0.0074512586	0.6922091	8.188884e-05	0.6922091	0.00015182495	0.30779088
64.0	0.0001623776739188721	0.6	0.0	8.1041e-11	0.6922091	0	0.6922091	0	0.30779088
16.0	3.792690190732254e-05	0.3	0.2	0.000304096	0.6922091	0	0.6922091	0	0.30779088
32.0	0.0003359818286283781	0.39999999999999997	0.0	4.9256494e-14	0.6922091	0	0.6922091	0	0.30779088
32.0	5.4555947811685143e-05	0.6	0.2	0.00015310172	0.6922091	0	0.6922091	0	0.30779088
64.0	7.847599703514606e-05	0.39999999999999997	0.0	2.124399e-05	0.6922091	0	0.6922091	0	0.30779088
32.0	2.06913808111479e-06	0.3	0.0	0.01754965	0.6922091	0	0.6922091	0	0.30779088
64.0	0.0004832930238571752	0.6	0.0	0	0.6922091	0	0.6922091	0	0.30779088
64.0	0.001	0.39999999999999997	0.2	0	0.6922091	0	0.6922091	0	0.30779088
64.0	6.158482110660267e-06	0.6	0.0	0.0027206328	0.6922091	1.0172526e-05	0.6922091	2.7974447e-05	0.30779088
16.0	0.0004832930238571752	0.39999999999999997	0.0	3.8871975e-10	0.6922091	0	0.6922091	0	0.30779088
16.0	1.8329807108324375e-05	0.39999999999999997	0.2	0.00617993	0.69220936	6.942749e-05	0.6922091	0.00015335083	0.30779088
64.0	3.792690190732254e-05	0.39999999999999997	0.1	0.00016403514	0.6922091	0	0.6922091	0	0.30779088
16.0	1.438449888287663e-06	0.5	0.0	0.23087397	0.6922106	0.18661118	0.6922091	0.4096466	0.30779088
64.0	6.158482110660267e-06	0.39999999999999997	0.2	0.0010945416	0.6922091	5.0862633e-07	0.6922091	7.6293946e-07	0.30779088
32.0	1.8329807108324375e-05	0.3	0.1	0.0005879417	0.6922091	0	0.6922091	0	0.30779088
16.0	0.0004832930238571752	0.3	0.1	0.30779088	0.30779088	0.30779088	00.6922091	0
64.0	6.158482110660267e-06	0.6	0.0	0.002711569	0.6922091	5.0862633e-07	0.6922091	2.7974447e-06	0.30779088
64.0	2.06913808111479e-06	0.3	0.2	0.0058918055	0.6922091	2.5431316e-06	0.6922091	1.2207031e-05	0.30779088
64.0	0.00023357214690901214	0.5	0.1	5.819979e-15	0.6922091	0	0.6922091	0	0.30779088
32.0	5.4555947811685143e-05	0.5	0.2	5.2785377e-05	0.6922091	0	0.6922091	0	0.30779088
16.0	0.00011288378916846884	0.3	0.2	3.4158405e-05	0.6922091	0	0.6922091	0	0.30779088
32.0	8.858667904100832e-06	0.5	0.0	0.005091337	0.6922091	6.128947e-05	0.6922091	0.00017242432	0.30779088
16.0	2.06913808111479e-06	0.39999999999999997	0.0	0.106985465	0.6922091	0.001763916	0.6922091	0.0034286499	0.30779088
32.0	0.0003359818286283781	0.3	0.1	1.22163e-12	0.6922091	0	0.6922091	0	0.30779088
16.0	2.06913808111479e-06	0.5	0.1	0.13178295	0.6922091	0.012304942	0.6922091	0.02569097	0.30779088
16.0	0.0004832930238571752	0.5	0.0	2.9828737e-09	0.6922091	0	0.6922091	0	0.30779088
32.0	4.281332398719396e-06	0.39999999999999997	0.1	0.01768384	0.6922091	0.0025721232	0.6922091	0.0055094403	0.30779088
32.0	0.001	0.3	0.0	0	0.6922091	0	0.6922091	0	0.30779088
16.0	8.858667904100832e-06	0.3	0.1	0.013969717	0.6922091	0.00032984416	0.6922091	0.0005765279	0.30779088
64.0	3.792690190732254e-05	0.5	0.0	5.3523978e-05	0.6922091	0	0.6922091	0	0.30779088
32.0	7.847599703514606e-05	0.39999999999999997	0.2	7.3337804e-05	0.6922091	0	0.6922091	0	0.30779088
64.0	1e-06	0.3	0.0	0.018507954	0.69220936	7.9854326e-05	0.6922091	0.00024642944	0.30779088
16.0	0.00011288378916846884	0.39999999999999997	0.1	0.00011735123	0.6922091	0	0.6922091	0	0.30779088
16.0	4.281332398719396e-06	0.5	0.2	0.03077918	0.6922096	3.382365e-05	0.6922091	5.238851e-05	0.30779088
32.0	0.0006951927961775605	0.6	0.0	7.5098603e-16	0.6922091	0	0.6922091	0	0.30779088
16.0	7.847599703514606e-05	0.6	0.1	0.0004777328	0.6922091	3.5858153e-05	0.6922091	8.773804e-05	0.30779088
64.0	3.792690190732254e-05	0.5	0.0	7.964379e-05	0.6922091	0	0.6922091	0	0.30779088
64.0	5.4555947811685143e-05	0.6	0.2	2.6350803e-05	0.6922091	0	0.6922091	0	0.30779088
16.0	7.847599703514606e-05	0.3	0.1	0.000355528	0.6922091	2.2125245e-05	0.6922091	5.315145e-05	0.30779088
16.0	2.6366508987303556e-05	0.5	0.0	0.0052195652	0.6922091	0.0012176514	0.6922091	0.0027023316	0.30779088
64.0	2.976351441631319e-06	0.6	0.0	0.009251657	0.6922091	0.0011070252	0.6922091	0.0028096517	0.30779088
16.0	2.976351441631319e-06	0.39999999999999997	0.2	0.024603607	0.69221014	0.00069300336	0.6922091	0.0014633179	0.30779088
64.0	6.158482110660267e-06	0.3	0.0	0.002244936	0.6922091	0	0.6922091	0	0.30779088
16.0	0.001	0.3	0.1	0	0.6922091	0	0.6922091	0	0.30779088
16.0	2.6366508987303556e-05	0.5	0.1	0.0022791051	0.6922091	8.90096e-06	0.6922091	2.0853679e-05	0.30779088
32.0	0.0004832930238571752	0.5	0.0	3.1358578e-15	0.6922091	0	0.6922091	0	0.30779088
16.0	8.858667904100832e-06	0.6	0.0	0.1492131	0.6922091	0.0008814494	0.6922091	0.0018760681	0.30779088
32.0	0.001	0.6	0.2	0	0.6922091	0	0.6922091	0	0.30779088
64.0	7.847599703514606e-05	0.3	0.1	3.7195357e-06	0.6922091	0	0.6922091	0	0.30779088
