Index,Iteration,Mean IoU,Filters,Learning rate,Pre processing,Whitening,Batch size,Dropout,Elastic proportion
1,24,0.6864367723464966,64,0.00014997463623393068,Normalize,0.0,1,0.3665385940327731,0.10333026255085184
2,32,0.6844295660654703,64,0.000189891942120115,Normalize,0.0,1,0.33686225375783263,0.11011858120739915
3,30,0.6827847758928934,64,7.130230360987569e-05,Normalize,0.0,1,0.37976527526249765,0.1522778351481003
4,34,0.6820352077484131,64,0.0001704281072987491,Normalize,0.0,1,0.31434575043532265,0.08193688214051614
5,25,0.6818334658940634,64,0.00012926107217105367,Normalize,0.0,1,0.3746302977920999,0.007081469116300768
6,2,0.6814642349878947,64,0.0002284147465989626,Normalize,0.0,6,0.3691951024204174,0.11393716296877861
7,31,0.6805486877759298,64,8.115864073257523e-05,Normalize,0.0,3,0.39934280893199187,0.15464592035302435
8,14,0.680024266242981,64,5.8462294416699344e-05,Standardize,0.0,4,0.42861148595792964,0.1278569208271075
9,22,0.678941528002421,64,0.00036945643722602144,Normalize,0.0,3,0.4371344784554557,0.1277153281690491
10,19,0.6780217885971069,64,7.313952374469901e-05,Normalize,0.0,4,0.4580572191354055,0.17596922960721173
11,18,0.6780145764350891,64,1.8237497455384707e-05,Standardize,0.0,4,0.3103839472189211,0.19123406911826726
12,13,0.6776163776715597,32,0.00022875954485380198,Standardize,0.0,4,0.388063875543044,0.14658752960473628
13,28,0.6775800188382467,64,9.282267229241206e-05,Normalize,0.0,1,0.35797170284835667,0.021367722868089526
14,17,0.6767238974571228,32,0.0005946690357573237,Normalize,0.0,4,0.3280059607986349,0.04569150477159192
15,11,0.6748947103818258,64,0.0001606678790243563,ZCA,0.05791973066410987,2,0.3561329737269152,0.06128870689035964
16,26,0.6747854351997375,64,0.00013394661491066467,Normalize,0.0,1,0.30228988162762266,0.008020749210335085
17,1,0.6744847496350607,32,7.613066653823794e-05,Normalize,0.0,3,0.3380319995873888,0.07355192372789128
18,4,0.6742780009905497,64,0.0002848365420634385,Normalize,0.0,6,0.4655367905223975,0.05667296106827069
19,33,0.671638290087382,64,0.00023988095474261983,Normalize,0.0,2,0.3362485100835203,0.11654952062457548
20,12,0.6708956162134806,32,2.0963654844739207e-05,Standardize,0.0,5,0.40408359397363525,0.06656869296114341
21,20,0.6707385182380676,32,5.258444417944148e-05,Standardize,0.0,5,0.42032132002244743,0.0702478992641832
22,16,0.6706174413363138,32,3.536188362789442e-05,Standardize,0.0,5,0.38879564716797177,0.04077944371984657
23,29,0.6695061326026917,64,0.0005422264339747383,Normalize,0.0,2,0.3484153583714029,0.10072826973814986
24,21,0.6689762870470682,64,0.00010420043787368295,Standardize,0.0,1,0.36782929857116603,0.11522771900551877
25,23,0.667256752649943,64,0.00011086521168167553,Standardize,0.0,3,0.492261557582596,0.13739171821740784
26,27,0.6667043368021647,64,0.0003370994005227196,Normalize,0.0,1,0.37332693474954326,0.003488230502465245
27,7,0.6621183753013611,64,5.297365096155548e-05,ZCA,0.010703958393200399,5,0.3269088843980133,0.17625716333742278
28,10,0.6610679626464844,64,0.0001962785046855914,Standardize,0.0,2,0.3212295342361038,0.02585231188903192
29,15,0.6575783292452494,32,2.9805826453542995e-05,ZCA,0.009215660980051256,2,0.4590316130845506,0.19938147732642922
30,6,0.6554622650146484,64,4.0293526102217816e-05,ZCA,0.09743373346888913,6,0.4354471078633716,0.16601840728793468
31,5,0.6470255255699158,32,3.816470001139511e-05,ZCA,0.0019420285604616844,2,0.34348718054655414,0.1717059284557061
32,8,0.6443329652150472,64,1.7535993265770767e-05,Normalize,0.0,5,0.4118451085892136,0.10089264531923425
33,3,0.6408823132514954,64,0.0001555279099359767,Normalize,0.0,6,0.4675214877430471,0.09107119160310267
34,9,0.5989586512247721,64,0.0004470213657887697,ZCA,0.01479492836615403,6,0.3887597275701161,0.08249179500801165
