epoch;accuracy;iou_coef;loss;val_accuracy;val_iou_coef;val_loss
0;0.6730657;0.23524244;0.30338062409370664;0.6832631;0.23213291;0.30195511727106006
1;0.6763444;0.23517756;0.3033559074099102;0.6836582;0.23211916;0.3019538288457053
2;0.6769415;0.23509695;0.30335637418050615;0.6839385;0.23210736;0.3019524700301034
3;0.67416877;0.23515137;0.3033532888737936;0.6839683;0.23209232;0.3019499195189703
4;0.66481066;0.23547663;0.3033792066006433;0.6832871;0.23207693;0.30194705168406166
5;0.6701932;0.2353127;0.30331350792021977;0.68469334;0.23207575;0.30192890944935025
6;0.6721799;0.23552245;0.30324927918494693;0.6839141;0.23203473;0.30194759357543216
7;0.6746519;0.23949912;0.3011948353525192;0.7543553;0.25801983;0.2846827778929756
8;0.7598361;0.3218234;0.25884844053359257;0.8097999;0.31246415;0.254581465834663
9;0.7823917;0.33502212;0.25052991072336833;0.8134918;0.308386;0.2550518360875902
10;0.7926222;0.34035003;0.2469633180186862;0.82407594;0.32463825;0.24728932829130262
11;0.79828405;0.34371924;0.2446107852837396;0.8126815;0.33152;0.24385594203358604
12;0.8030123;0.34612808;0.2427133001789214;0.81847894;0.32503784;0.24497810534068518
13;0.80840725;0.34970698;0.24012977354110232;0.8284507;0.33138058;0.24260250153995697
14;0.8111443;0.3517036;0.23874697798774355;0.8301238;0.32963854;0.24307355784234547
15;0.81457496;0.35329002;0.23725925954561386;0.8279098;0.33655757;0.23849519718260992
16;0.8170545;0.35470662;0.23611866047458044;0.833434;0.33680007;0.23863350397064573
17;0.81989235;0.35631418;0.23474332668478526;0.83895487;0.3288587;0.2400265620719819
18;0.8218133;0.3578577;0.23351486285527548;0.84035194;0.3370476;0.23609805586792174
19;0.82358706;0.35869116;0.2325955948848573;0.82831746;0.3434794;0.23426950028964452
20;0.8258452;0.36018798;0.23128632129184784;0.8403597;0.33888978;0.23564159370604015
21;0.82670456;0.360935;0.2304262375453162;0.84031564;0.33812234;0.2338881406329927
22;0.8286027;0.36266926;0.2290138175941649;0.8409345;0.3478486;0.23051680014246986
23;0.8295119;0.36348996;0.22821986312904055;0.84130406;0.35003585;0.22968218786375863
24;0.83172226;0.36502334;0.22703330215953646;0.8229407;0.35753962;0.2293302824667522
25;0.8316359;0.3653096;0.2264871113735532;0.8412107;0.35922295;0.22791219796453205
26;0.8339265;0.36668473;0.2253314773809342;0.8452435;0.339288;0.23130737588519143
27;0.8346308;0.3679506;0.2243361675550067;0.84465516;0.35215443;0.2263007192384629
28;0.83509535;0.36881524;0.22355999000488766;0.8462844;0.3464647;0.2274465636128471
29;0.8360891;0.3691343;0.22281643602583143;0.84645706;0.35760725;0.22446141711303166
30;0.8367558;0.3699219;0.22228003310778785;0.84439677;0.3584574;0.22330795447031657
31;0.83771455;0.3711164;0.22112279757620795;0.8455503;0.3539114;0.2237763180903026
32;0.8390642;0.37258744;0.2199852134121789;0.84949315;0.35335153;0.22341761305218652
33;0.84025997;0.37364852;0.2191497776432643;0.8492373;0.35529935;0.2222725963024866
34;0.83995545;0.37388796;0.21872832324769761;0.8450219;0.34071788;0.22858446671849206
35;0.8410733;0.37466893;0.21786987454172166;0.847996;0.35500798;0.22307915363992964
36;0.84214705;0.37598482;0.21668593964879476;0.8424415;0.3590937;0.22039150947616215
37;0.8423296;0.37656885;0.2161795809912303;0.8489719;0.35697222;0.2207462942032587
38;0.84316343;0.37750125;0.21530639164977602;0.8480661;0.35360852;0.22242946667330607
39;0.84445965;0.37869108;0.21440391251965174;0.8448919;0.35973975;0.21904641015189036
40;0.84514105;0.37943393;0.21367692080755082;0.84784335;0.36147335;0.21773581476438614
41;0.84573185;0.38029897;0.21296073637311422;0.8526362;0.35930797;0.2179241370587122
42;0.8464147;0.38085523;0.21225067232336317;0.850065;0.36279616;0.21599677687599544
43;0.8470224;0.381842;0.21139351244956728;0.85243154;0.35897395;0.21662057053475153
44;0.8464711;0.38203096;0.21137833073971762;0.8506228;0.3668248;0.21486260152998424
45;0.8485313;0.38355446;0.21005077744287157;0.84751767;0.36597732;0.2146091781911396
46;0.84815;0.3837772;0.20961795804992556;0.8535484;0.35276678;0.21823942604519073
47;0.8497777;0.38552544;0.20824943382588643;0.852275;0.35253888;0.21905237109888168
48;0.85070467;0.38641277;0.20741858497498528;0.85243106;0.3648455;0.21437794117700487
49;0.8509246;0.38673845;0.2069965542119647;0.8459085;0.37180418;0.2123986563796089
50;0.85109234;0.38797608;0.20626538418588183;0.8515762;0.35831016;0.21667409252552758
51;0.85217345;0.3889611;0.20528947651386262;0.85394937;0.3597931;0.21409027746745518
52;0.8527425;0.38950455;0.20468349570319766;0.85080075;0.36226362;0.21338087439537048
53;0.8525902;0.38986865;0.2042298453289365;0.8559181;0.36653575;0.21082986550671715
54;0.8539903;0.39127022;0.20319778589975265;0.8510819;0.37397462;0.21049398666336422
55;0.85460246;0.3926094;0.2022592278321584;0.8537091;0.37384036;0.20916438596589224
56;0.8551333;0.39283338;0.2018484606913158;0.8505096;0.37250966;0.2097012107712882
57;0.85539746;0.39394122;0.2010282344288296;0.8532987;0.36668718;0.21028671105702718
58;0.8567441;0.39491612;0.20005825741896555;0.8529147;0.35919783;0.21346012274424234
59;0.85768825;0.39603335;0.19912779626392182;0.85198766;0.35885584;0.21339244257836115
60;0.8580407;0.39679062;0.19863609014995515;0.85378283;0.35835177;0.21304561583768752
61;0.85783386;0.39719236;0.19810166952155886;0.8526047;0.3713613;0.20842219954445249
62;0.86035204;0.39965597;0.19645401642436072;0.85515493;0.35817054;0.2115898086911156
63;0.8605022;0.40015054;0.19587328381008573;0.8571053;0.36475796;0.2096609617982592
64;0.8609348;0.40079102;0.1953175495352064;0.85534924;0.35951743;0.21073836377688818
65;0.8615609;0.4016367;0.19454930278990004;0.8564484;0.35859615;0.21150321020966484
66;0.86219287;0.40242887;0.1940581751910467;0.8549691;0.36707476;0.20893019307227362
67;0.86171865;0.4029841;0.19363185065133232;0.85387594;0.36305687;0.20903556795347306
68;0.86290854;0.404195;0.19260881382321554;0.8560766;0.3671596;0.2074990105912799
69;0.8638384;0.40514177;0.19174176512256502;0.8556023;0.36916718;0.20722521100725447
70;0.8639766;0.40606636;0.19114665567874908;0.8549519;0.3758475;0.2050239516439892
71;0.86524725;0.40715495;0.19018635547350324;0.857094;0.37233022;0.20495232025782267
72;0.8656083;0.4080495;0.1896078688379318;0.85725063;0.36128733;0.20812761678582145
73;0.86533886;0.40831307;0.1892896456094015;0.85500383;0.3708338;0.20569403773262387
74;0.8663768;0.40993387;0.1881680571086823;0.8551862;0.36113366;0.20861259630748205
75;0.866995;0.4105778;0.18771943521878076;0.8492858;0.3565476;0.21227131968452817
76;0.8678936;0.41183674;0.1865698918842134;0.85833544;0.37382188;0.2034481675568081
77;0.8690528;0.4131206;0.18554244804003883;0.8588171;0.37561917;0.20259248401437488
78;0.8691648;0.41360465;0.18520667785689945;0.85668063;0.37409177;0.20362386456557682
79;0.8700519;0.41524845;0.18421431321000295;0.85593706;0.3708765;0.2039449674174899
80;0.8698647;0.415535;0.18381349983669462;0.8578946;0.3676364;0.20493551197506132
81;0.87049866;0.41623387;0.18325139437402999;0.855867;0.38323334;0.19987017983481997
82;0.8705461;0.4171175;0.18276568980444044;0.85798043;0.3633596;0.2061104618935358
83;0.8716847;0.41833958;0.181743402121559;0.85522765;0.36885223;0.20423061910129728
84;0.87294024;0.41985968;0.18058154962365588;0.8565353;0.35519463;0.20922089304242816
85;0.8728978;0.42041725;0.1803802921753081;0.8585057;0.3762697;0.20117211472420465
86;0.87365264;0.4216045;0.17936119950952983;0.85822743;0.37277162;0.20254599003564744
87;0.87449193;0.42274162;0.17858874296385144;0.8518172;0.3668186;0.20612615204992749
88;0.8746436;0.4235554;0.17790618982579973;0.85856515;0.3833595;0.19753673414389292
